type,code,bnf_code,nm
amp,4783111000001104,0201010AABBAAAA,Digibind 38mg powder for solution for injection vials (GlaxoSmithKline UK Ltd)
amp,20477811000001103,0201010AABCAAAB,DigiFab 40mg powder for solution for infusion vials (BTG International Ltd)
amp,3726311000001104,0201010D0AAAAAA,Digitoxin 100microgram tablets (A A H Pharmaceuticals Ltd)
amp,3726811000001108,0201010D0AAAAAA,Digitoxin 100microgram tablets (Focus Pharmaceuticals Ltd)
amp,5626411000001106,0201010D0AAAAAA,Digitoxin 100microgram tablets (Alliance Healthcare (Distribution) Ltd)
amp,25044011000001100,0201010D0AAAAAA,Digitoxin 100microgram tablets (Special Order)
amp,163511000001105,0201010F0AAACAC,Digoxin 500micrograms/2ml solution for infusion ampoules (A A H Pharmaceuticals Ltd)
amp,10683211000001103,0201010F0AAACAC,Digoxin 500micrograms/2ml solution for infusion ampoules (Advanz Pharma)
amp,40711000001109,0201010F0AAADAD,Digoxin 62.5microgram tablets (A A H Pharmaceuticals Ltd)
amp,70711000001108,0201010F0AAADAD,Digoxin 62.5microgram tablets (Teva UK Ltd)
amp,158711000001104,0201010F0AAADAD,Digoxin 62.5microgram tablets (Alliance Healthcare (Distribution) Ltd)
amp,540411000001103,0201010F0AAADAD,Digoxin 62.5microgram tablets (IVAX Pharmaceuticals UK Ltd)
amp,796511000001108,0201010F0AAADAD,Digoxin 62.5microgram tablets (Accord Healthcare Ltd)
amp,859011000001100,0201010F0AAADAD,Digoxin 62.5microgram tablets (The Boots Company Plc)
amp,863311000001107,0201010F0AAADAD,Digoxin 62.5microgram tablets (Kent Pharmaceuticals Ltd)
amp,9791111000001100,0201010F0AAADAD,Digoxin 62.5microgram tablets (Almus Pharmaceuticals Ltd)
amp,17891911000001106,0201010F0AAADAD,Digoxin 62.5microgram tablets (Phoenix Healthcare Distribution Ltd)
amp,21032711000001105,0201010F0AAADAD,Digoxin 62.5microgram tablets (Bristol Laboratories Ltd)
amp,21944011000001108,0201010F0AAADAD,Digoxin 62.5microgram tablets (Waymade Healthcare Plc)
amp,23876411000001105,0201010F0AAADAD,Digoxin 62.5microgram tablets (DE Pharmaceuticals)
amp,29827111000001100,0201010F0AAADAD,Digoxin 62.5microgram tablets (Sigma Pharmaceuticals Plc)
amp,35195311000001102,0201010F0AAADAD,Digoxin 62.5microgram tablets (NorthStar Healthcare Unlimited Company)
amp,37057811000001102,0201010F0AAADAD,Digoxin 62.5microgram tablets (Mawdsley-Brooks & Company Ltd)
amp,90511000001105,0201010F0AAAEAE,Digoxin 125microgram tablets (The Boots Company Plc)
amp,107911000001108,0201010F0AAAEAE,Digoxin 125microgram tablets (Alliance Healthcare (Distribution) Ltd)
amp,167611000001101,0201010F0AAAEAE,Digoxin 125microgram tablets (Accord Healthcare Ltd)
amp,169111000001103,0201010F0AAAEAE,Digoxin 125microgram tablets (IVAX Pharmaceuticals UK Ltd)
amp,306911000001104,0201010F0AAAEAE,Digoxin 125microgram tablets (Kent Pharmaceuticals Ltd)
amp,917611000001103,0201010F0AAAEAE,Digoxin 125microgram tablets (A A H Pharmaceuticals Ltd)
amp,9791411000001105,0201010F0AAAEAE,Digoxin 125microgram tablets (Almus Pharmaceuticals Ltd)
amp,10724111000001108,0201010F0AAAEAE,Digoxin 125microgram tablets (Teva UK Ltd)
amp,16048511000001100,0201010F0AAAEAE,Digoxin 125microgram tablets (Bristol Laboratories Ltd)
amp,17892111000001103,0201010F0AAAEAE,Digoxin 125microgram tablets (Phoenix Healthcare Distribution Ltd)
amp,21944211000001103,0201010F0AAAEAE,Digoxin 125microgram tablets (Waymade Healthcare Plc)
amp,23864411000001107,0201010F0AAAEAE,Digoxin 125microgram tablets (DE Pharmaceuticals)
amp,29805711000001100,0201010F0AAAEAE,Digoxin 125microgram tablets (Sigma Pharmaceuticals Plc)
amp,30022911000001103,0201010F0AAAEAE,Digoxin 125microgram tablets (Mawdsley-Brooks & Company Ltd)
amp,35195511000001108,0201010F0AAAEAE,Digoxin 125microgram tablets (NorthStar Healthcare Unlimited Company)
amp,342611000001101,0201010F0AAAFAF,Digoxin 250microgram tablets (Alliance Healthcare (Distribution) Ltd)
amp,433111000001106,0201010F0AAAFAF,Digoxin 250microgram tablets (The Boots Company Plc)
amp,481111000001100,0201010F0AAAFAF,Digoxin 250microgram tablets (Actavis UK Ltd)
amp,506711000001104,0201010F0AAAFAF,Digoxin 250microgram tablets (Teva UK Ltd)
amp,553911000001100,0201010F0AAAFAF,Digoxin 250microgram tablets (A A H Pharmaceuticals Ltd)
amp,567811000001105,0201010F0AAAFAF,Digoxin 250microgram tablets (IVAX Pharmaceuticals UK Ltd)
amp,828211000001101,0201010F0AAAFAF,Digoxin 250microgram tablets (Kent Pharmaceuticals Ltd)
amp,9791611000001108,0201010F0AAAFAF,Digoxin 250microgram tablets (Almus Pharmaceuticals Ltd)
amp,16048711000001105,0201010F0AAAFAF,Digoxin 250microgram tablets (Bristol Laboratories Ltd)
amp,17892311000001101,0201010F0AAAFAF,Digoxin 250microgram tablets (Phoenix Healthcare Distribution Ltd)
amp,21944411000001104,0201010F0AAAFAF,Digoxin 250microgram tablets (Waymade Healthcare Plc)
amp,23873611000001102,0201010F0AAAFAF,Digoxin 250microgram tablets (DE Pharmaceuticals)
amp,29826911000001100,0201010F0AAAFAF,Digoxin 250microgram tablets (Sigma Pharmaceuticals Plc)
amp,30023111000001107,0201010F0AAAFAF,Digoxin 250microgram tablets (Mawdsley-Brooks & Company Ltd)
amp,35195711000001103,0201010F0AAAFAF,Digoxin 250microgram tablets (NorthStar Healthcare Unlimited Company)
amp,11627711000001102,0201010F0AAANAN,Digoxin 125micrograms/5ml oral suspension (Special Order)
amp,11628311000001100,0201010F0AAANAN,Digoxin 125micrograms/5ml oral solution (Special Order)
amp,11628911000001104,0201010F0AAAPAP,Digoxin 250micrograms/5ml oral suspension (Special Order)
amp,11629611000001101,0201010F0AAAPAP,Digoxin 250micrograms/5ml oral solution (Special Order)
amp,11630411000001106,0201010F0AAAQAQ,Digoxin 75micrograms/5ml oral suspension (Special Order)
amp,11630911000001103,0201010F0AAAQAQ,Digoxin 75micrograms/5ml oral solution (Special Order)
amp,19997911000001104,0201010F0AAARAR,Digoxin 100micrograms/1ml solution for injection ampoules (Special Order)
