,ClusterId,ClusterName,code,Description
3495,CESS,Smoking cessation codes,6791.,Health education - smoking
3496,CESS,Smoking cessation codes,67A3.,Pregnancy smoking advice
3497,CESS,Smoking cessation codes,9OO1.,Attends stop smoking monitoring
3498,CESS,Smoking cessation codes,9OO2.,Refuses stop smoking monitor
3499,CESS,Smoking cessation codes,9OO3.,Stop smoking monitor default
3500,CESS,Smoking cessation codes,9OO4.,Stop smoking monitoring first letter
3501,CESS,Smoking cessation codes,9OO5.,Stop smoking monitoring second letter
3502,CESS,Smoking cessation codes,9OO6.,Stop smoking monitoring third letter
3503,CESS,Smoking cessation codes,9OO7.,Stop smoking monitoring verbal invite
3504,CESS,Smoking cessation codes,9OO8.,Stop smoking monitoring telephone invite
3505,CESS,Smoking cessation codes,9OO9.,Stop smoking monitoring delete
3506,CESS,Smoking cessation codes,9OOA.,Stop smoking monitoring check done
3507,CESS,Smoking cessation codes,Ua1Nz,Smoking cessation advice
3508,CESS,Smoking cessation codes,Ua1O0,Advice on effects of smoking on health
3509,CESS,Smoking cessation codes,Xa1dC,Advice on smoking
3510,CESS,Smoking cessation codes,XaBUG,Smoking monitoring status
3511,CESS,Smoking cessation codes,XaCGl,Smoking monitoring invitation
3512,CESS,Smoking cessation codes,XaEKU,Nicotine replacement therapy
3513,CESS,Smoking cessation codes,XaFst,Over the counter nicotine replacement therapy
3514,CESS,Smoking cessation codes,XaFw9,Referral to stop-smoking clinic
3515,CESS,Smoking cessation codes,XaIQi,Smoking cessation milestones
3516,CESS,Smoking cessation codes,XaIQj,Negotiated date for cessation of smoking
3517,CESS,Smoking cessation codes,XaIQk,Smoking status at 4 weeks
3518,CESS,Smoking cessation codes,XaIQl,Smoking status between 4 and 52 weeks
3519,CESS,Smoking cessation codes,XaIQm,Smoking status at 52 weeks
3520,CESS,Smoking cessation codes,XaIQn,Nicotine replacement therapy provided free
3521,CESS,Smoking cessation codes,XaIpo,Did not attend smoking cessation clinic
3522,CESS,Smoking cessation codes,XaIr7,Smoking free weeks
3523,CESS,Smoking cessation codes,XaItC,Referral to smoking cessation advisor
3524,CESS,Smoking cessation codes,XaIth,Smoking cessation programme start date
3525,CESS,Smoking cessation codes,XaIye,Seen by smoking cessation advisor
3526,CESS,Smoking cessation codes,XaJIs,Lifestyle advice regarding smoking
3527,CESS,Smoking cessation codes,XaK28,Carbon monoxide reading at 4 weeks
3528,CESS,Smoking cessation codes,XaMlI,Smoking cessation drug therapy
3529,CESS,Smoking cessation codes,XaMlJ,Nicotine replacement therapy using nicotine patches
3530,CESS,Smoking cessation codes,XaMlK,Nicotine replacement therapy using nicotine gum
3531,CESS,Smoking cessation codes,XaMlL,Nicotine replacement therapy using nicotine inhalator
3532,CESS,Smoking cessation codes,XaMlM,Nicotine replacement therapy using nicotine lozenges
3533,CESS,Smoking cessation codes,XaPyn,Refusal to give smoking status
3534,CESS,Smoking cessation codes,XaQT5,Referral to NHS stop smoking service
3535,CESS,Smoking cessation codes,XaQVQ,Brief intervention for smoking cessation
3536,CESS,Smoking cessation codes,XaREz,Smoking cessation programme declined
3537,CESS,Smoking cessation codes,XaRFh,Smoking cessation advice declined
